,StartTime,StopTime,Duration,ActivityLabel,ActivityType
500,1723.215,1724.043,0.828,TurnR,Head Movement
501,1724.043,1727.019,2.976,FaceForward,Head Movement
988,1727.055,1728.489,1.434,,Others
502,1728.537,1730.883,2.346,TurnL,Head Movement
820,1730.458,1731.369,0.911,ListenL,AuralOral Communication
503,1730.883,1732.587,1.704,TurnR,Head Movement
821,1731.369,1735.274,3.905,ListenR,AuralOral Communication
504,1732.587,1732.945,0.358,TurnL,Head Movement
505,1732.99,1735.327,2.337,TurnR,Head Movement
822,1735.274,1742.848,7.574,TalkU,AuralOral Communication
506,1735.327,1736.574,1.247,Nod,Head Movement
507,1736.574,1738.747,2.173,TurnR,Head Movement
508,1738.774,1739.898,1.124,FaceForward,Head Movement
509,1739.929,1741.015,1.086,TurnL,Head Movement
510,1741.038,1741.858,0.82,TurnR,Head Movement
511,1741.865,1743.574,1.709,Nod,Head Movement
823,1743.26,1745.245,1.985,ListenL,AuralOral Communication
512,1743.574,1745.384,1.81,TurnL,Head Movement
824,1745.245,1746.73,1.485,ListenR,AuralOral Communication
513,1745.384,1746.246,0.862,FaceForward,Head Movement
514,1746.276,1759.842,13.566,TurnL,Head Movement
825,1746.73,1750.164,3.434,TalkL,AuralOral Communication
826,1750.164,1751.03,0.866,ListenL,AuralOral Communication
827,1751.03,1758.027,6.997,TalkL,AuralOral Communication
828,1758.027,1759.114,1.087,ListenL,AuralOral Communication
829,1759.114,1763.006,3.892,TalkU,AuralOral Communication
515,1759.842,1763.003,3.161,FaceForward,Head Movement
830,1763.006,1764.271,1.265,ListenU,AuralOral Communication
516,1763.034,1763.876,0.842,TurnL,Head Movement
517,1763.876,1764.848,0.972,Nod,Head Movement
831,1764.271,1785.177,20.906,TalkU,AuralOral Communication
518,1764.87,1767.022,2.152,FaceDown,Head Movement
519,1767.022,1768.642,1.62,TurnL,Head Movement
520,1768.66,1769.886,1.226,Shake,Head Movement
521,1769.888,1770.881,0.993,Shake,Head Movement
522,1770.881,1772.168,1.287,TurnL,Head Movement
523,1772.168,1772.804,0.636,TurnR,Head Movement
524,1772.804,1773.445,0.641,FaceForward,Head Movement
525,1773.445,1774.539,1.094,TurnR,Head Movement
526,1774.546,1775.135,0.589,<undefined>,Head Movement
527,1775.135,1776.207,1.072,TurnR,Head Movement
528,1776.244,1778.434,2.19,TurnL,Head Movement
529,1778.434,1779.789,1.355,FaceDown,Head Movement
530,1779.789,1781.399,1.61,FaceForward,Head Movement
531,1781.399,1791.723,10.324,TurnL,Head Movement
832,1785.177,1786.671,1.494,ListenL,AuralOral Communication
833,1786.671,1790.422,3.751,TalkL,AuralOral Communication
834,1790.664,1792.862,2.198,ListenL,AuralOral Communication
532,1791.765,1793.324,1.5590000000000002,Nod,Head Movement
835,1792.862,1794.108,1.246,TalkL,AuralOral Communication
533,1793.324,1794.628,1.304,FaceDown,Head Movement
836,1794.108,1796.965,2.857,ListenL,AuralOral Communication
534,1794.677,1796.864,2.187,TurnL,Head Movement
535,1796.864,1797.892,1.028,TurnR,Head Movement
837,1796.965,1799.48,2.515,TalkR,AuralOral Communication
536,1797.892,1799.909,2.017,Nod,Head Movement
838,1799.526,1807.226,7.7,TalkR,AuralOral Communication
537,1799.912,1801.211,1.299,FaceForward,Head Movement
538,1801.2179999999998,1808.124,6.906,TurnR,Head Movement
539,1808.124,1808.809,0.685,TurnL,Head Movement
839,1808.179,1808.87,0.691,ListenL,AuralOral Communication
540,1808.809,1810.876,2.067,TurnR,Head Movement
840,1808.87,1811.269,2.399,ListenR,AuralOral Communication
541,1810.923,1813.08,2.157,Nod,Head Movement
841,1811.269,1832.276,21.007,ListenL,AuralOral Communication
542,1813.08,1832.748,19.668,TurnL,Head Movement
842,1832.276,1839.387,7.111,TalkL,AuralOral Communication
543,1832.769,1835.069,2.3,Nod,Head Movement
544,1835.069,1836.34,1.271,FaceDown,Head Movement
989,1836.149,1839.612,3.463,Fidget,Others
545,1836.368,1839.262,2.894,TurnL,Head Movement
546,1839.262,1841.144,1.882,Nod,Head Movement
843,1839.387,1845.541,6.154,ListenL,AuralOral Communication
547,1841.144,1842.163,1.019,TurnL,Head Movement
548,1842.163,1843.583,1.42,Nod,Head Movement
549,1843.583,1847.483,3.9,FaceForward,Head Movement
844,1845.541,1866.17,20.629,TalkL,AuralOral Communication
550,1847.485,1850.577,3.092,TurnL,Head Movement
551,1850.577,1851.5,0.923,FaceForward,Head Movement
552,1851.5,1857.251,5.751,TurnL,Head Movement
553,1857.256,1858.456,1.2,Nod,Head Movement
554,1858.458,1861.715,3.257,FaceForward,Head Movement
555,1861.721,1865.34,3.619,TurnL,Head Movement
556,1865.34,1866.815,1.475,FaceForward,Head Movement
557,1866.861,1867.853,0.992,FaceDown,Head Movement
845,1866.936,1871.289,4.353,TalkU,AuralOral Communication
990,1867.72,1871.676,3.956,Fidget,Others
558,1867.853,1869.24,1.387,TurnR,Head Movement
559,1869.261,1870.262,1.001,FaceDown,Head Movement
560,1870.268,1871.461,1.193,TurnR,Head Movement
561,1871.471,1873.76,2.289,FaceForward,Head Movement
562,1873.76,1874.831,1.071,Shake,Head Movement
846,1874.167,1885.991,11.824,TalkU,AuralOral Communication
563,1874.831,1878.743,3.912,FaceForward,Head Movement
564,1878.743,1880.08,1.337,TurnR,Head Movement
565,1880.08,1882.036,1.956,FaceForward,Head Movement
566,1882.036,1889.464,7.428,TurnL,Head Movement
847,1886.333,1892.085,5.752,ListenL,AuralOral Communication
567,1889.464,1890.92,1.456,Nod,Head Movement
568,1890.942,1898.262,7.32,TurnL,Head Movement
848,1892.085,1896.458,4.373,TalkL,AuralOral Communication
991,1898.262,1958.558,60.296,,Others
849,1958.552,2078.597,120.045,ListenV,AuralOral Communication
569,1958.558,1959.373,0.815,FaceDown,Head Movement
570,1959.388,1960.135,0.747,FaceForward,Head Movement
571,1960.135,1962.19,2.055,FaceDown,Head Movement
572,1962.19,1964.417,2.227,FaceForward,Head Movement
992,1963.772,1995.076,31.304,Note,Others
573,1964.631,1994.583,29.952,FaceDown,Head Movement
574,1995.052,2079.733,84.681,ListenV,Head Movement
993,2044.171,2047.077,2.906,Fidget,Others
575,2079.738,2114.34,34.602,FaceDown,Head Movement
850,2080.793,2082.589,1.796,ListenU,AuralOral Communication
994,2083.9700000000003,2110.759,26.789,Note,Others
576,2114.541,2120.323,5.782,FaceForward,Head Movement
577,2120.54,2124.423,3.883,FaceDown,Head Movement
578,2124.555,2125.632,1.077,FaceForward,Head Movement
579,2125.647,2127.003,1.356,FaceDown,Head Movement
851,2125.664,2128.274,2.61,TalkL,AuralOral Communication
580,2127.01,2127.765,0.755,TurnL,Head Movement
581,2127.77,2130.505,2.735,FaceForward,Head Movement
852,2128.286,2145.385,17.099,ListenL,AuralOral Communication
582,2130.505,2148.566,18.061,TurnL,Head Movement
853,2145.951,2147.301,1.35,ListenL,AuralOral Communication
854,2148.274,2150.372,2.098,ListenR,AuralOral Communication
583,2148.566,2149.284,0.718,TurnR,Head Movement
584,2149.284,2150.063,0.779,FaceForward,Head Movement
585,2150.068,2152.456,2.388,Nod,Head Movement
855,2150.372,2153.577,3.205,TalkU,AuralOral Communication
586,2152.456,2157.074,4.618,TurnL,Head Movement
856,2154.568,2157.164,2.596,ListenL,AuralOral Communication
587,2157.074,2158.428,1.354,TurnR,Head Movement
857,2157.164,2158.987,1.823,ListenR,AuralOral Communication
588,2158.428,2161.798,3.37,Nod,Head Movement
858,2159.567,2165.186,5.619,ListenR,AuralOral Communication
589,2161.798,2165.324,3.526,Nod,Head Movement
859,2165.211,2171.627,6.416,ListenL,AuralOral Communication
590,2165.324,2171.196,5.872,TurnL,Head Movement
591,2171.196,2174.168,2.972,TurnR,Head Movement
860,2171.627,2174.357,2.73,ListenR,AuralOral Communication
592,2174.168,2180.621,6.453,TurnL,Head Movement
861,2174.357,2178.905,4.548,ListenL,AuralOral Communication
862,2178.905,2180.842,1.937,TalkL,AuralOral Communication
593,2180.621,2181.826,1.205,TurnR,Head Movement
863,2180.842,2182.274,1.432,ListenR,AuralOral Communication
594,2181.83,2184.116,2.286,Nod,Head Movement
864,2182.299,2184.731,2.432,ListenR,AuralOral Communication
595,2184.116,2187.655,3.539,FaceForward,Head Movement
865,2184.76,2201.064,16.304,TalkU,AuralOral Communication
596,2187.655,2189.439,1.784,Shake,Head Movement
597,2189.439,2190.367,0.928,FaceDown,Head Movement
598,2190.367,2191.174,0.807,TurnR ,Head Movement 
599,2191.179,2191.975,0.796,TurnL,Head Movement
600,2191.986,2192.558,0.572,FaceForward,Head Movement
601,2192.558,2193.006,0.448,TurnL,Head Movement
602,2193.006,2194.858,1.852,FaceForward,Head Movement
603,2194.858,2195.878,1.02,Shake,Head Movement
604,2195.878,2200.282,4.404,TurnR,Head Movement
605,2200.282,2201.7,1.418,Nod,Head Movement
866,2201.064,2203.875,2.811,ListenL,AuralOral Communication
606,2201.726,2202.561,0.835,TurnL,Head Movement
607,2202.561,2210.024,7.463,TurnR,Head Movement
867,2203.875,2204.755,0.88,ListenR,AuralOral Communication
868,2204.755,2205.704,0.949,TalkR,AuralOral Communication
869,2205.704,2210.362,4.658,ListenR,AuralOral Communication
608,2210.024,2210.973,0.949,TurnL,Head Movement
870,2210.362,2211.65,1.288,ListenL,AuralOral Communication
609,2210.973,2213.541,2.568,Nod,Head Movement
871,2211.65,2215.042,3.392,TalkU,AuralOral Communication
610,2213.541,2215.311,1.77,FaceForward,Head Movement
872,2215.042,2217.172,2.13,ListenU,AuralOral Communication
611,2215.311,2216.23,0.919,FaceForward,Head Movement
612,2216.23,2217.804,1.5739999999999998,TurnL,Head Movement
873,2217.172,2217.804,0.632,ListenL,AuralOral Communication
613,2217.804,2218.782,0.978,TurnR,Head Movement
874,2217.804,2218.62,0.816,ListenR,AuralOral Communication
875,2218.622,2222.054,3.432,ListenL,AuralOral Communication
614,2218.792,2221.539,2.747,TurnL,Head Movement
615,2221.543,2226.929,5.386,TurnR,Head Movement
876,2222.054,2233.855,11.801,ListenR,AuralOral Communication
616,2226.929,2228.098,1.169,FaceDown,Head Movement
617,2228.098,2232.017,3.919,TurnR,Head Movement
618,2232.017,2233.017,1.0,FaceDown,Head Movement
619,2233.017,2233.62,0.603,TurnR,Head Movement
620,2233.639,2235.127,1.488,TurnL,Head Movement
877,2233.856,2235.394,1.538,ListenL,AuralOral Communication
621,2235.127,2247.921,12.794,TurnR,Head Movement
878,2235.394,2238.765,3.371,ListenR,AuralOral Communication
879,2238.765,2244.775,6.01,TalkR,AuralOral Communication
880,2244.775,2248.296,3.521,ListenR,AuralOral Communication
622,2247.921,2253.723,5.802,TurnL,Head Movement
881,2248.296,2265.436,17.14,ListenL,AuralOral Communication
623,2253.723,2254.995,1.272,FaceDown,Head Movement
624,2255.036,2268.002,12.966,TurnL,Head Movement
882,2265.484,2267.075,1.591,TalkL,AuralOral Communication
883,2267.075,2270.149,3.074,ListenL,AuralOral Communication
625,2268.002,2269.5460000000003,1.544,FaceForward,Head Movement
626,2269.5460000000003,2270.0460000000003,0.5,TurnL,Head Movement
627,2270.0460000000003,2273.965,3.919,TurnR,Head Movement
884,2270.149,2278.393,8.244,ListenR,AuralOral Communication
628,2273.988,2277.237,3.249,Nod,Head Movement
629,2277.24,2278.48,1.24,TurnL,Head Movement
885,2278.393,2281.267,2.874,ListenL,AuralOral Communication
630,2278.48,2280.164,1.6840000000000002,Nod,Head Movement
631,2280.18,2281.561,1.381,FaceForward,Head Movement
886,2281.267,2282.124,0.857,TalkU,AuralOral Communication
632,2281.561,2287.561,6.0,TurnL,Head Movement
887,2282.124,2293.747,11.623,ListenL,AuralOral Communication
633,2287.561,2290.794,3.233,Nod,Head Movement
634,2290.829,2295.973,5.144,FaceForward,Head Movement
888,2293.747,2300.992,7.245,TalkU,AuralOral Communication
635,2295.973,2300.061,4.088,TurnR,Head Movement
636,2300.077,2304.765,4.688,TurnL,Head Movement
889,2302.164,2305.589,3.425,ListenL,AuralOral Communication
637,2304.765,2307.813,3.048,Nod,Head Movement
890,2305.589,2309.775,4.186,TalkL,AuralOral Communication
638,2307.831,2310.32,2.489,Shake,Head Movement
891,2309.775,2311.964,2.189,ListenL,AuralOral Communication
639,2310.32,2311.524,1.204,FaceForward,Head Movement
640,2311.556,2313.436,1.88,TurnL,Head Movement
892,2313.098,2314.318,1.22,ListenR,AuralOral Communication
641,2313.436,2315.76,2.324,TurnR,Head Movement
893,2314.318,2315.2290000000003,0.911,ListenL,AuralOral Communication
894,2315.2290000000003,2316.784,1.5550000000000002,ListenR,AuralOral Communication
642,2315.769,2317.374,1.605,Nod,Head Movement
895,2316.784,2318.1040000000003,1.32,TalkR,AuralOral Communication
643,2317.399,2322.237,4.838,TurnR,Head Movement
896,2318.1040000000003,2331.374,13.27,ListenR,AuralOral Communication
644,2322.237,2326.717,4.48,Nod,Head Movement
645,2326.75,2328.399,1.649,TurnL,Head Movement
646,2328.404,2329.429,1.025,TurnR,Head Movement
647,2329.457,2338.98,9.523,TurnL,Head Movement
897,2331.374,2338.771,7.397,ListenL,AuralOral Communication
898,2338.771,2339.856,1.085,ListenR,AuralOral Communication
648,2338.98,2339.808,0.828,TurnR,Head Movement
649,2339.808,2349.186,9.378,TurnL,Head Movement
899,2339.856,2352.16,12.304,ListenL,AuralOral Communication
650,2349.186,2350.414,1.228,Nod,Head Movement
651,2350.414,2352.017,1.603,TurnL,Head Movement
652,2352.024,2354.26,2.236,TurnR,Head Movement
900,2352.16,2354.504,2.344,ListenR,AuralOral Communication
653,2354.267,2355.105,0.838,TurnL,Head Movement
901,2354.535,2356.363,1.828,ListenU,AuralOral Communication
654,2355.105,2362.385,7.28,TurnR,Head Movement
902,2356.363,2362.859,6.496,ListenR,AuralOral Communication
655,2362.385,2368.127,5.742,TurnL,Head Movement
903,2362.859,2370.142,7.283,ListenL,AuralOral Communication
656,2368.127,2372.176,4.049,Nod,Head Movement
904,2370.142,2370.98,0.838,TalkL,AuralOral Communication
905,2370.98,2378.289,7.309,ListenR,AuralOral Communication
657,2372.177,2377.002,4.825,TurnR,Head Movement
658,2377.002,2379.583,2.581,TurnL,Head Movement
906,2378.289,2380.174,1.885,ListenL,AuralOral Communication
659,2379.583,2381.848,2.265,TurnR,Head Movement
907,2380.174,2392.775,12.601,ListenR,AuralOral Communication
660,2381.848,2386.337,4.489,Nod,Head Movement
661,2386.337,2390.252,3.915,FaceForward,Head Movement
662,2390.252,2391.429,1.177,TurnR,Head Movement
663,2391.429,2399.157,7.728,TurnL,Head Movement
908,2392.775,2396.208,3.433,ListenL,AuralOral Communication
909,2396.208,2403.429,7.221,TalkU,AuralOral Communication
664,2399.157,2402.414,3.257,TurnR,Head Movement
665,2402.414,2403.583,1.169,TurnL,Head Movement
910,2403.444,2404.664,1.22,ListenR,AuralOral Communication
666,2403.583,2404.508,0.925,TurnR,Head Movement
667,2404.508,2406.414,1.906,FaceForward,Head Movement
911,2404.678,2409.066,4.388,TalkU,AuralOral Communication
668,2406.414,2407.774,1.36,TurnR,Head Movement
669,2407.808,2409.811,2.003,TurnL,Head Movement
670,2409.811,2411.532,1.721,FaceDown,Head Movement
912,2410.776,2418.907,8.131,TalkL,AuralOral Communication
671,2411.532,2421.487,9.955,TurnL,Head Movement
913,2418.907,2425.572,6.665,ListenL,AuralOral Communication
672,2421.487,2422.319,0.832,FaceDown,Head Movement
673,2422.319,2423.458,1.139,TurnL,Head Movement
674,2423.458,2424.76,1.302,Nod,Head Movement
675,2424.763,2427.563,2.8,TurnL,Head Movement
914,2425.572,2427.791,2.219,TalkL,AuralOral Communication
676,2427.563,2429.967,2.404,Nod,Head Movement
915,2427.791,2430.055,2.264,TalkL,AuralOral Communication
995,2429.967,2483.275,53.308,,Others
677,2483.275,2557.429,74.154,FaceForward,Head Movement
916,2508.754,2557.855,49.101,ListenV,AuralOral Communication
678,2557.429,2614.473,57.044,FaceDown,Head Movement
996,2558.75,2615.304,56.554,Note,Others
917,2562.039,2566.694,4.655,ListenU,AuralOral Communication
679,2614.473,2616.193,1.72,TurnL,Head Movement
680,2616.193,2616.9210000000003,0.728,FaceDown,Head Movement
681,2616.9210000000003,2618.039,1.118,TurnL,Head Movement
682,2618.052,2620.862,2.81,FaceForward,Head Movement
683,2620.862,2622.576,1.714,FaceDown,Head Movement
684,2622.576,2623.782,1.206,FaceForward,Head Movement
685,2623.812,2625.774,1.962,Shake,Head Movement
686,2625.783,2631.443,5.66,FaceForward,Head Movement
687,2631.465,2634.458,2.993,TurnL,Head Movement
918,2632.782,2639.192,6.41,ListenL,AuralOral Communication
688,2634.458,2635.282,0.824,FaceDown,Head Movement
689,2635.288,2638.362,3.074,TurnL,Head Movement
690,2638.398,2640.48,2.082,FaceForward,Head Movement
919,2639.2200000000003,2643.048,3.828,TalkU,AuralOral Communication
691,2640.48,2642.502,2.022,TurnL,Head Movement
692,2642.502,2643.105,0.603,TurnR,Head Movement
693,2643.108,2650.186,7.078,FaceForward,Head Movement
920,2645.562,2652.489,6.927,TalkU,AuralOral Communication
694,2650.186,2654.201,4.015,TurnL,Head Movement
921,2652.489,2654.561,2.072,ListenL,AuralOral Communication
695,2654.204,2655.574,1.37,Nod,Head Movement
922,2654.561,2655.977,1.416,TalkL,AuralOral Communication
696,2655.574,2656.745,1.171,FaceForward,Head Movement
923,2656.005,2657.87,1.865,TalkL,AuralOral Communication
697,2656.745,2660.127,3.382,TurnL,Head Movement
924,2657.87,2660.792,2.922,TalkU,AuralOral Communication
698,2660.127,2661.443,1.316,Nod,Head Movement
925,2660.792,2661.348,0.556,TalkU,AuralOral Communication
926,2661.348,2662.8,1.452,ListenL,AuralOral Communication
699,2661.461,2662.7960000000003,1.335,TurnL,Head Movement
700,2662.7960000000003,2663.693,0.897,Nod,Head Movement
927,2662.8,2663.782,0.982,TalkL,AuralOral Communication
701,2663.6980000000003,2672.135,8.437,FaceDown,Head Movement
928,2663.782,2664.767,0.985,ListenL,AuralOral Communication
929,2664.767,2668.657,3.89,TalkU,AuralOral Communication
930,2668.837,2673.704,4.867,ListenU,AuralOral Communication
702,2672.135,2679.465,7.33,TurnL,Head Movement
931,2673.782,2681.789,8.007,ListenL,AuralOral Communication
703,2679.465,2681.575,2.11,Nod,Head Movement
704,2681.579,2684.752,3.173,TurnR,Head Movement
932,2681.808,2684.752,2.944,ListenR,AuralOral Communication
933,2684.752,2686.635,1.883,ListenL,AuralOral Communication
705,2684.754,2686.355,1.601,TurnL,Head Movement
706,2686.355,2687.326,0.971,TurnR,Head Movement
934,2686.648,2687.399,0.751,ListenR,AuralOral Communication
707,2687.326,2689.377,2.051,TurnL,Head Movement
935,2687.401,2689.568,2.167,ListenL,AuralOral Communication
708,2689.407,2691.762,2.355,TurnR,Head Movement
936,2689.568,2702.848,13.28,ListenR,AuralOral Communication
709,2691.762,2693.958,2.196,Nod,Head Movement
997,2693.76,2695.651,1.891,Fidget,Others
710,2694.0060000000003,2696.4210000000003,2.415,Nod,Head Movement
711,2696.426,2698.3630000000003,1.937,Shake,Head Movement
712,2698.3630000000003,2700.615,2.252,TurnR,Head Movement
713,2700.615,2703.348,2.733,FaceForward,Head Movement
937,2702.848,2709.109,6.261,TalkU,AuralOral Communication
714,2703.348,2706.348,3.0,TurnL,Head Movement
715,2706.348,2708.024,1.6760000000000002,TurnR,Head Movement
716,2708.03,2710.62,2.59,TurnL,Head Movement
938,2710.481,2742.328,31.847,ListenL,AuralOral Communication
717,2710.62,2712.774,2.154,TurnL,Head Movement
718,2712.802,2713.554,0.752,FaceDown,Head Movement
719,2713.554,2722.576,9.022,TurnL,Head Movement
720,2722.576,2725.567,2.991,Shake,Head Movement
721,2725.567,2740.76,15.193,TurnL,Head Movement
722,2740.76,2742.635,1.875,Nod,Head Movement
939,2742.328,2743.343,1.015,ListenR,AuralOral Communication
723,2742.635,2744.517,1.882,TurnR,Head Movement
940,2743.35,2743.947,0.597,TalkR,AuralOral Communication
941,2743.947,2748.36,4.413,ListenL,AuralOral Communication
724,2744.517,2748.762,4.245,TurnL,Head Movement
942,2748.36,2752.745,4.385,TalkR,AuralOral Communication
725,2748.762,2749.774,1.012,TurnR,Head Movement
726,2749.802,2751.186,1.384,FaceForward,Head Movement
727,2751.187,2754.531,3.344,Nod,Head Movement
943,2752.7650000000003,2755.956,3.191,ListenL,AuralOral Communication
728,2754.531,2761.885,7.354,TurnL,Head Movement
944,2755.956,2762.443,6.487,TalkL,AuralOral Communication
729,2761.907,2763.0460000000003,1.139,TurnR,Head Movement
945,2762.465,2763.525,1.06,ListenR,AuralOral Communication
730,2763.0460000000003,2764.624,1.5779999999999998,Nod,Head Movement
946,2763.543,2779.84,16.297,TalkR,AuralOral Communication
731,2764.643,2767.774,3.131,TurnR,Head Movement
732,2767.776,2771.3810000000003,3.605,FaceForward,Head Movement
733,2771.384,2773.635,2.251,TurnL,Head Movement
734,2773.635,2778.784,5.149,TurnR,Head Movement
735,2778.784,2781.855,3.071,Nod,Head Movement
947,2779.8630000000003,2780.856,0.993,ListenR,AuralOral Communication
948,2780.856,2781.686,0.83,TalkR,AuralOral Communication
949,2781.69,2784.886,3.196,ListenR,AuralOral Communication
736,2781.855,2784.576,2.721,TurnR,Head Movement
737,2784.576,2786.5460000000003,1.97,Nod,Head Movement
950,2784.886,2786.033,1.147,TalkR,AuralOral Communication
951,2786.033,2790.548,4.515,ListenR,AuralOral Communication
738,2786.5460000000003,2787.885,1.339,TurnR,Head Movement
739,2787.899,2789.973,2.074,Nod,Head Movement
740,2789.973,2790.767,0.794,TurnL,Head Movement
952,2790.566,2791.158,0.592,ListenL,AuralOral Communication
741,2790.767,2794.7870000000003,4.02,TurnR,Head Movement
953,2791.16,2799.965,8.805,ListenR,AuralOral Communication
742,2794.7870000000003,2797.366,2.579,Nod,Head Movement
743,2797.366,2798.318,0.952,FaceForward,Head Movement
744,2798.318,2800.417,2.099,Shake,Head Movement
954,2799.965,2803.119,3.154,ListenL,AuralOral Communication
745,2800.417,2802.778,2.361,TurnL,Head Movement
746,2802.778,2807.098,4.32,FaceForward,Head Movement
955,2803.119,2811.684,8.565,ListenR,AuralOral Communication
747,2807.098,2809.017,1.919,Nod,Head Movement
748,2809.017,2811.48,2.463,TurnR,Head Movement
749,2811.48,2814.165,2.685,FaceForward,Head Movement
956,2811.684,2813.361,1.677,TalkU,AuralOral Communication
957,2813.361,2819.754,6.393,ListenL,AuralOral Communication
750,2814.165,2817.178,3.013,FaceForward,Head Movement
751,2817.178,2818.303,1.125,TurnL,Head Movement
752,2818.303,2819.612,1.309,TurnL,Head Movement
753,2819.612,2822.149,2.537,TurnR,Head Movement
958,2819.754,2833.734,13.98,ListenR,AuralOral Communication
754,2822.149,2824.527,2.378,Shake,Head Movement
755,2824.527,2829.786,5.259,TurnR,Head Movement
756,2829.786,2836.9880000000003,7.202,Nod,Head Movement
959,2833.734,2834.624,0.89,TalkU,AuralOral Communication
960,2834.6310000000003,2839.443,4.812,ListenR,AuralOral Communication
757,2836.9880000000003,2839.267,2.279,FaceForward,Head Movement
758,2839.267,2841.355,2.088,TurnL,Head Movement
961,2839.443,2841.75,2.307,ListenL,AuralOral Communication
759,2841.355,2842.752,1.397,TurnR,Head Movement
962,2841.75,2843.385,1.635,ListenR,AuralOral Communication
760,2842.7560000000003,2846.752,3.996,TurnR,Head Movement
963,2843.385,2844.458,1.073,TalkR,AuralOral Communication
964,2845.083,2846.7960000000003,1.713,ListenR,AuralOral Communication
761,2846.752,2850.7290000000003,3.977,Nod,Head Movement
965,2846.804,2847.568,0.764,TalkR,AuralOral Communication
966,2847.578,2851.033,3.455,ListenR,AuralOral Communication
762,2850.7290000000003,2858.784,8.055,TurnR,Head Movement
967,2851.033,2858.741,7.708,TalkR,AuralOral Communication
968,2858.741,2860.043,1.302,ListenR,AuralOral Communication
763,2858.784,2863.112,4.328,Nod,Head Movement
969,2860.043,2861.227,1.184,TalkR,AuralOral Communication
970,2861.227,2861.889,0.662,ListenL,AuralOral Communication
971,2861.892,2864.605,2.713,ListenR,AuralOral Communication
764,2863.112,2865.097,1.985,TurnR,Head Movement
972,2864.605,2870.178,5.573,TalkR,AuralOral Communication
765,2865.097,2868.664,3.567,FaceForward,Head Movement
766,2868.664,2871.23,2.566,TurnR,Head Movement
973,2870.178,2871.149,0.971,ListenR,AuralOral Communication
974,2871.168,2873.969,2.801,ListenL,AuralOral Communication
767,2871.26,2873.05,1.79,TurnL,Head Movement
768,2873.05,2879.757,6.707,TurnR,Head Movement
975,2873.9700000000003,2880.587,6.617,ListenR,AuralOral Communication
769,2879.757,2883.968,4.211,Nod,Head Movement
976,2880.587,2882.318,1.731,TalkU,AuralOral Communication
977,2882.318,2883.848,1.53,ListenR,AuralOral Communication
978,2883.848,2885.223,1.375,ListenL,AuralOral Communication
770,2883.968,2885.519,1.5510000000000002,Nod,Head Movement
979,2885.223,2893.37,8.147,ListenR,AuralOral Communication
771,2885.519,2886.289,0.77,TurnR,Head Movement
772,2886.289,2887.399,1.11,FaceDown,Head Movement
773,2887.399,2892.761,5.362,TurnR,Head Movement
774,2892.761,2895.2470000000003,2.486,Nod,Head Movement
980,2893.419,2894.443,1.024,TalkR,AuralOral Communication
981,2894.444,2895.359,0.915,ListenR,AuralOral Communication
775,2895.2470000000003,2900.375,5.128,FaceForward,Head Movement
982,2895.359,2927.09,31.731,TalkR,AuralOral Communication
776,2900.375,2902.561,2.186,FaceDown,Head Movement
777,2902.561,2905.754,3.193,TurnR,Head Movement
778,2905.754,2911.4970000000003,5.743,FaceDown,Head Movement
779,2911.4970000000003,2912.09,0.593,TurnR,Head Movement
780,2912.09,2926.223,14.133,FaceForward,Head Movement
781,2926.227,2927.355,1.128,FaceDown,Head Movement
983,2927.09,2928.306,1.216,ListenR,AuralOral Communication
782,2927.355,2928.001,0.646,TurnR,Head Movement
783,2928.001,2928.715,0.714,FaceDown,Head Movement
984,2928.306,2929.887,1.581,TalkR,AuralOral Communication
784,2928.715,2929.59,0.875,TurnR,Head Movement
998,2929.6040000000003,3001.976,72.372,N/A ,Others 
785,3001.976,3008.112,6.136,FaceForward,Head Movement
985,3001.981,3005.831,3.85,ListenU,AuralOral Communication
986,3005.831,3065.283,59.452,ListenV,AuralOral Communication
786,3008.112,3009.925,1.813,FaceDown,Head Movement
787,3009.925,3010.576,0.651,FaceForward,Head Movement
788,3010.576,3013.848,3.272,FaceDown,Head Movement
789,3013.873,3016.326,2.453,FaceForward,Head Movement
790,3016.326,3025.105,8.779,FaceDown,Head Movement
791,3025.105,3032.532,7.427,FaceForward,Head Movement
792,3032.532,3033.899,1.367,FaceDown,Head Movement
793,3033.899,3035.561,1.662,FaceForward,Head Movement
999,3034.794,3063.621,28.827,Note,Others
794,3035.561,3044.899,9.338,FaceDown,Head Movement
795,3045.083,3045.612,0.529,FaceForward,Head Movement
796,3045.761,3048.767,3.006,FaceDown,Head Movement
797,3048.792,3050.0460000000003,1.254,FaceForward,Head Movement
798,3050.0460000000003,3052.267,2.221,FaceDown ,Head Movement 
799,3052.267,3053.561,1.294,FaceForward,Head Movement
800,3053.561,3062.34,8.779,FaceDown,Head Movement
801,3062.34,3065.311,2.971,FaceForward,Head Movement
1116,3065.682,3117.245,51.563,ListenV,AuralOral Communication
1000,3065.685,3121.042,55.357,FaceForward,Head Movement
1117,3117.246,3120.152,2.906,ListenU,AuralOral Communication
1001,3121.054,3144.801,23.747,FaceDown,Head Movement
1159,3134.216,3138.331,4.115,Note,Others
1002,3144.801,3152.718,7.917,FaceForward,Head Movement
1118,3151.788,3155.468,3.68,TalkL,AuralOral Communication
1003,3152.718,3158.414,5.696,TurnL,Head Movement
1119,3155.468,3158.298,2.83,ListenL,AuralOral Communication
